x_mean,x_max,x_min,x_std,x_range,x_mean_PSD,x_max_PSD,x_PSD_above_20,x_weighted_mean,y_mean,y_max,y_min,y_std,y_range,y_mean_PSD,y_max_PSD,y_PSD_above_20,y_weighted_mean,z_mean,z_max,z_min,z_std,z_range,z_mean_PSD,z_max_PSD,z_PSD_above_20,z_weighted_mean,label
0.0121851765877193,3.4879685357447867,-3.765571608096472,1.2591247284096327,7.253540143841258,3.101338729989533,115.01977866632669,6.0,31.117546852848463,0.0169324864703547,4.119887382975753,-4.1431080098149335,1.557194002047657,8.262995392790685,4.700463815560667,118.123419699332,14.0,40.22963942736219,-0.0232951990616877,6.2190010909003925,-6.307307448410816,2.211047826154195,12.52630853931121,9.489355347333898,202.34614060406224,35.0,99.01106916954606,AS
-0.009240142938143,3.7289518107969934,-3.7486389669256175,1.2606167002059927,7.477590777722611,3.125342025487926,36.11126737171711,8.0,30.37750082861441,-0.0158376227536641,4.336249671171142,-4.295086715603252,1.5249916484565706,8.631336386774393,4.542432483228736,79.57443680601389,15.0,35.9272626522252,-0.0200326661220536,5.87606554936101,-5.911147552504096,1.977924586498744,11.787213101865106,7.63419174722357,126.96220315417985,28.0,77.1853315336217,AS
-0.0043864787341167,3.772276064424674,-3.7641514817297663,1.1906459959122542,7.53642754615444,2.730635532155041,34.24569861731491,3.0,28.99452650462267,-0.0058983714319848,3.963989818494218,-3.76571465008148,1.3446577728614282,7.729704468575698,3.4848746951347294,84.56287427252836,8.0,31.5941294665728,0.0100224043554398,6.414334224281005,-5.892248302143762,2.180174390457616,12.306582526424766,9.326134858449231,172.84751454099066,34.0,98.5572363562796,AS
-0.0102970244325009,3.649371311655371,-3.712405710917727,1.1987015085108697,7.361777022573098,2.7417320103359715,31.33639467872432,6.0,27.36491603229277,0.0008860351981383,4.3173894084406585,-3.878968505852897,1.404679452309228,8.196357914293555,3.736137272343852,82.28004465252687,15.0,32.77087545377728,0.0140190468937329,6.2967220278538205,-6.179114007725529,2.1747764457125878,12.475836035579349,9.251931785896026,194.62793820995583,32.0,90.8954676854252,AS
0.0225129355400445,3.7713015794554057,-3.63552720496459,1.2307134829873756,7.406828784419996,2.8417271242546143,36.08087986014263,9.0,25.79613670368277,0.0144822877367553,4.232862961189178,-4.175652631947724,1.3684794165732852,8.408515593136901,3.526855837643956,87.75441930199777,12.0,28.352744928882487,-0.0160353919579511,6.427871719931173,-6.182703145833781,2.084744765573004,12.610574865764953,8.43167811442924,97.87707740126795,36.0,83.11000316540385,AS
-0.0157993865296722,3.640040370927762,-3.5648677554653325,1.1507436218585627,7.204908126393095,2.5618467201385324,27.16050002615233,2.0,27.74357337657036,0.0007052658226532,4.21038504276539,-4.294308092709056,1.4084226448841797,8.504693135474447,3.883353339660751,110.39399076855696,11.0,33.498413735641385,0.0078765372062687,6.4304551095274425,-6.194611021735373,2.069592221073285,12.625066131262816,8.400493675570479,68.47300924031667,36.0,88.5871896560078,AS
-0.0122140180503504,3.6134869621249255,-3.7212517327666097,1.3476085426238942,7.334738694891535,3.529348314547167,82.75680052772385,4.0,32.97376283558842,0.0102400855557037,4.223886275029688,-4.2502470938744965,1.7209400555914982,8.474133368904184,5.781194103449718,80.70114784632536,10.0,47.35576630740205,-0.0357734257323649,6.484576555812367,-6.098384561209498,2.3536346166804054,12.582961117021863,10.678522384973547,229.9618014322916,16.0,107.7332131805828,AS
0.0218215596312352,4.59679522877522,-4.485016148029887,1.4845665284911482,9.081811376805106,4.220565552923557,98.63199451818105,13.0,37.25358329977141,0.0066236171907279,5.072398796320679,-5.027782872701996,1.749758002902217,10.100181669022676,6.038833328751712,200.1664284812209,22.0,48.28115985707717,0.0064908867438401,6.118689002445301,-6.067230736867013,2.0722405739405594,12.185919739312316,8.449588760284266,193.0563098865001,28.0,78.18406171481865,AS
-0.0005658616037542,4.6566534355564375,-4.703909055019763,1.497551537405395,9.3605624905762,4.405705383533331,102.35759218248968,14.0,40.33202853270244,-0.0093395046085997,4.93342380596976,-5.070763004269574,1.6403114586757714,10.004186810239334,5.191819773080142,98.04630900465484,18.0,43.34151606280627,0.030769145232786,5.9098710292003895,-6.019189706637653,2.376328403448698,11.929060735838044,10.955912019351311,170.84610703203538,33.0,102.66899791803468,AS
0.0097778023393067,4.498417729098262,-4.785385853464544,1.5241823448413596,9.283803582562806,4.567912421701782,139.81967760612054,14.0,40.64712912161612,0.0069595114634721,4.469563910912923,-5.059670222872676,1.5836741313351352,9.5292341337856,4.894830056489572,145.2356434552537,19.0,38.61007340460949,0.0015870640894423,5.849908945586767,-5.6589313091113285,1.9198635617343984,11.508840254698097,7.299506817354064,173.6782021460239,20.0,73.86015673301455,AS
0.0063690545923934,4.541412246506695,-4.77797608787632,1.593918169586139,9.319388334383016,4.845676522825235,145.19964821043993,16.0,44.748317325008,0.0079572573905949,5.114917325047546,-5.117320353028332,1.9168647625367656,10.23223767807588,7.060936889977556,275.9285167972334,21.0,57.640826096204094,0.0091512067806404,6.1191552764135775,-5.6380214084760825,2.283231360994259,11.75717668488966,9.89861394307938,248.915411675026,31.0,90.72017428546928,AS
-0.0023459381636136,4.260901314569422,-4.782414390968691,1.462545776548378,9.043315705538111,4.235708186593409,216.54598172519917,8.0,38.73734381861556,0.0116788985287098,4.706200663775905,-4.909406069734477,1.6110531845770515,9.615606733510385,5.0839853793161005,229.34004987448404,14.0,41.86636210269501,-0.0037322858432144,5.825699250138978,-5.776209101735264,1.838640814500201,11.601908351874243,6.658501990876607,227.2915829896856,17.0,69.152114219314,AS
-0.0038077760316599,4.743597953999258,-4.698402233636815,1.6440336709561676,9.442000187636072,5.346259856010524,211.67828413104573,14.0,47.72660132480717,0.0114379802825628,5.0598581321043925,-5.125056939343363,1.7967057680905874,10.184915071447756,6.296314733748876,278.4235858911299,15.0,51.35338725877836,-0.0033194716570679,5.9190788496869615,-5.504644987353685,1.9974976807153868,11.423723837040647,7.87514230903961,238.12200373488685,16.0,76.35274207694822,AS
